S.NO,University Name,District,12th Percentage,Entrance Percentage,Department,Output
1,Aligarh Muslim University,Aligarh,55,80,Computer Science and Engineering,Yes
2,Aligarh Muslim University,Aligarh,85,80,Computer Science and Engineering,Yes
3,Aligarh Muslim University,Aligarh,74,80,Computer Science and Engineering,Yes
4,Aligarh Muslim University,Aligarh,92,80,Computer Science and Engineering,Yes
5,Aligarh Muslim University,Aligarh,19,80,Computer Science and Engineering,No
6,Aligarh Muslim University,Aligarh,69,80,Computer Science and Engineering,Yes
7,Aligarh Muslim University,Aligarh,61,80,Computer Science and Engineering,Yes
8,Aligarh Muslim University,Aligarh,23,80,Computer Science and Engineering,No
9,Aligarh Muslim University,Aligarh,46,80,Computer Science and Engineering,No
10,Aligarh Muslim University,Aligarh,54,80,Computer Science and Engineering,No
11,Aligarh Muslim University,Aligarh,35,80,Computer Science and Engineering,No
12,Annamalai University,Chidambaram,55,60,Electical and Electonics Engineering,Yes
13,Annamalai University,Chidambaram,74,60,Electical and Electonics Engineering,Yes
14,Annamalai University,Chidambaram,69,60,Electical and Electonics Engineering,Yes
15,Annamalai University,Chidambaram,62,60,Electical and Electonics Engineering,Yes
16,Annamalai University,Chidambaram,43,60,Electical and Electonics Engineering,No
17,Annamalai University,Chidambaram,39,60,Electical and Electonics Engineering,No
18,Annamalai University,Chidambaram,27,60,Electical and Electonics Engineering,No
19,Annamalai University,Chidambaram,52,60,Electical and Electonics Engineering,No
20,Annamalai University,Chidambaram,50,60,Electical and Electonics Engineering,No
21,Annamalai University,Chidambaram,36,60,Electical and Electonics Engineering,No
22,Annamalai University,Chidambaram,88,60,Electical and Electonics Engineering,Yes
23,Annamalai University,Chidambaram,95,60,Electical and Electonics Engineering,Yes
24,Banaras Hindu University,Varanasi,50,60,Computer Science and Engineering,Yes
25,Banaras Hindu University,Varanasi,79,60,Computer Science and Engineering,Yes
26,Banaras Hindu University,Varanasi,67,60,Computer Science and Engineering,Yes
27,Banaras Hindu University,Varanasi,45,60,Computer Science and Engineering,No
28,Banaras Hindu University,Varanasi,19,60,Computer Science and Engineering,No
29,Banaras Hindu University,Varanasi,56,60,Computer Science and Engineering,Yes
30,Banaras Hindu University,Varanasi,36,60,Computer Science and Engineering,No
31,Banaras Hindu University,Varanasi,49,60,Computer Science and Engineering,No
32,Banaras Hindu University,Varanasi,25,60,Computer Science and Engineering,No
33,Banaras Hindu University,Varanasi,88,60,Computer Science and Engineering,Yes
34,Birla Institute of Technology and Science,Palani,75,75,Electical and Electonics Engineering,Yes
35,Birla Institute of Technology and Science,Palani,79,75,Electical and Electonics Engineering,Yes
36,Birla Institute of Technology and Science,Palani,90,75,Electical and Electonics Engineering,Yes
37,Birla Institute of Technology and Science,Palani,65,75,Electical and Electonics Engineering,No
38,Birla Institute of Technology and Science,Palani,70,75,Electical and Electonics Engineering,No
39,Birla Institute of Technology and Science,Palani,28,75,Electical and Electonics Engineering,No
40,Birla Institute of Technology and Science,Palani,49,75,Electical and Electonics Engineering,No
41,Birla Institute of Technology and Science,Palani,54,75,Electical and Electonics Engineering,No
42,Birla Institute of Technology and Science,Palani,37,75,Electical and Electonics Engineering,No
43,Birla Institute of Technology and Science,Palani,95,75,Electical and Electonics Engineering,Yes
44,Birla Institute of Technology and Science,Palani,86,75,Electical and Electonics Engineering,Yes
45,Chandigarh University,Mohali,50,55,Computer Science and Engineering,Yes
46,Chandigarh University,Mohali,50,55,Electical and Electonics Engineering,Yes
47,Chandigarh University,Mohali,50,55,Electronics and Communication Engineering,Yes
48,Chandigarh University,Mohali,50,55,Civil Engineering,Yes
49,Chandigarh University,Mohali,50,55,Mechanical Engineering,Yes
50,Chandigarh University,Mohali,65,55,Computer Science and Engineering,Yes
51,Chandigarh University,Mohali,68,55,Electical and Electonics Engineering,Yes
52,Chandigarh University,Mohali,74,55,Electical and Electonics Engineering,Yes
53,Chandigarh University,Mohali,65,55,Electronics and Communication Engineering,Yes
54,Chandigarh University,Mohali,74,55,Civil Engineering,Yes
55,Chandigarh University,Mohali,82,55,Civil Engineering,Yes
56,Chandigarh University,Mohali,69,55,Civil Engineering,Yes
57,Chandigarh University,Mohali,78,55,Mechanical Engineering,Yes
58,Chandigarh University,Mohali,92,55,Mechanical Engineering,Yes
59,Chandigarh University,Mohali,85,55,Mechanical Engineering,Yes
60,Chandigarh University,Mohali,48,55,Computer Science and Engineering,No
61,Chandigarh University,Mohali,45,55,Electical and Electonics Engineering,No
62,Chandigarh University,Mohali,85,55,Electronics and Communication Engineering,Yes
63,Chandigarh University,Mohali,92,55,Electronics and Communication Engineering,Yes
64,Chandigarh University,Mohali,79,55,Electronics and Communication Engineering,Yes
65,Chandigarh University,Mohali,48,55,Electronics and Communication Engineering,No
66,Chandigarh University,Mohali,36,55,Civil Engineering,No
67,Chandigarh University,Mohali,45,55,Mechanical Engineering,No
68,Chandigarh University,Mohali,42,55,Computer Science and Engineering,No
69,Chandigarh University,Mohali,28,55,Computer Science and Engineering,No
70,Chandigarh University,Mohali,16,55,Computer Science and Engineering,No
71,Chandigarh University,Mohali,37,55,Computer Science and Engineering,No
72,Chandigarh University,Mohali,25,55,Electical and Electonics Engineering,No
73,Chandigarh University,Mohali,19,55,Electical and Electonics Engineering,No
74,Chandigarh University,Mohali,39,55,Electical and Electonics Engineering,No
75,Chandigarh University,Mohali,29,55,Electronics and Communication Engineering,No
76,Chandigarh University,Mohali,28,55,Civil Engineering,No
77,Chandigarh University,Mohali,16,55,Civil Engineering,No
78,Chandigarh University,Mohali,49,55,Civil Engineering,No
79,Chandigarh University,Mohali,37,55,Mechanical Engineering,No
80,Chandigarh University,Mohali,19,55,Mechanical Engineering,No
81,Chandigarh University,Mohali,26,55,Mechanical Engineering,No
82,Chandigarh University,Mohali,88,55,Computer Science and Engineering,Yes
83,Chandigarh University,Mohali,79,55,Computer Science and Engineering,Yes
84,Chandigarh University,Mohali,95,55,Electical and Electonics Engineering,Yes
85,Chandigarh University,Mohali,42,55,Electronics and Communication Engineering,No
86,Chandigarh University,Mohali,15,55,Electronics and Communication Engineering,No
87,Chandigarh University,Mohali,35,55,Electronics and Communication Engineering,No
88,Christ University,Bangalore,55,40,Computer Science and Engineering,Yes
89,Christ University,Bangalore,55,40,Electical and Electonics Engineering,Yes
90,Christ University,Bangalore,55,40,Electronics and Communication Engineering,Yes
91,Christ University,Bangalore,55,40,Civil Engineering,Yes
92,Christ University,Bangalore,55,40,Mechanical Engineering,Yes
93,Christ University,Bangalore,67,40,Computer Science and Engineering,Yes
94,Christ University,Bangalore,66,40,Electical and Electonics Engineering,Yes
95,Christ University,Bangalore,73,40,Electical and Electonics Engineering,Yes
96,Christ University,Bangalore,85,40,Electronics and Communication Engineering,Yes
97,Christ University,Bangalore,62,40,Civil Engineering,Yes
98,Christ University,Bangalore,82,40,Civil Engineering,Yes
99,Christ University,Bangalore,62,40,Mechanical Engineering,Yes
100,Christ University,Bangalore,74,40,Mechanical Engineering,Yes
101,Christ University,Bangalore,86,40,Mechanical Engineering,Yes
102,Christ University,Bangalore,47,40,Computer Science and Engineering,No
103,Christ University,Bangalore,34,40,Computer Science and Engineering,No
104,Christ University,Bangalore,88,40,Electical and Electonics Engineering,Yes
105,Christ University,Bangalore,37,40,Electical and Electonics Engineering,No
106,Christ University,Bangalore,42,40,Electical and Electonics Engineering,No
107,Christ University,Bangalore,39,40,Electronics and Communication Engineering,No
108,Christ University,Bangalore,28,40,Civil Engineering,No
109,Christ University,Bangalore,48,40,Civil Engineering,No
110,Christ University,Bangalore,28,40,Mechanical Engineering,No
111,Christ University,Bangalore,52,40,Computer Science and Engineering,No
112,Christ University,Bangalore,27,40,Electical and Electonics Engineering,No
113,Christ University,Bangalore,50,40,Electical and Electonics Engineering,No
114,Christ University,Bangalore,49,40,Electronics and Communication Engineering,No
115,Christ University,Bangalore,28,40,Electronics and Communication Engineering,No
116,Christ University,Bangalore,45,40,Civil Engineering,No
117,Christ University,Bangalore,52,40,Mechanical Engineering,No
118,Christ University,Bangalore,38,40,Mechanical Engineering,No
119,Christ University,Bangalore,44,40,Mechanical Engineering,No
120,Christ University,Bangalore,84,40,Computer Science and Engineering,Yes
121,Christ University,Bangalore,42,40,Electronics and Communication Engineering,No
122,Christ University,Bangalore,74,40,Electronics and Communication Engineering,Yes
123,Christ University,Bangalore,34,40,Electronics and Communication Engineering,No
124,Christ University,Bangalore,69,40,Electronics and Communication Engineering,Yes
125,Christ University,Bangalore,35,40,Civil Engineering,No
126,Delhi Technological University,New Delhi,60,60,Electronics and Communication Engineering,Yes
127,Delhi Technological University,New Delhi,60,60,Civil Engineering,Yes
128,Delhi Technological University,New Delhi,60,60,Mechanical Engineering,Yes
129,Delhi Technological University,New Delhi,84,60,Electronics and Communication Engineering,Yes
130,Delhi Technological University,New Delhi,74,60,Civil Engineering,Yes
131,Delhi Technological University,New Delhi,66,60,Civil Engineering,Yes
132,Delhi Technological University,New Delhi,85,60,Civil Engineering,Yes
133,Delhi Technological University,New Delhi,75,60,Mechanical Engineering,Yes
134,Delhi Technological University,New Delhi,88,60,Mechanical Engineering,Yes
135,Delhi Technological University,New Delhi,69,60,Mechanical Engineering,Yes
136,Delhi Technological University,New Delhi,59,60,Electronics and Communication Engineering,No
137,Delhi Technological University,New Delhi,51,60,Civil Engineering,No
138,Delhi Technological University,New Delhi,42,60,Civil Engineering,No
139,Delhi Technological University,New Delhi,58,60,Civil Engineering,No
140,Delhi Technological University,New Delhi,58,60,Mechanical Engineering,No
141,Delhi Technological University,New Delhi,51,60,Mechanical Engineering,No
142,Delhi Technological University,New Delhi,35,60,Mechanical Engineering,No
143,Delhi Technological University,New Delhi,29,60,Electronics and Communication Engineering,No
144,Delhi Technological University,New Delhi,47,60,Electronics and Communication Engineering,No
145,Delhi Technological University,New Delhi,31,60,Electronics and Communication Engineering,No
146,Delhi Technological University,New Delhi,28,60,Civil Engineering,No
147,Delhi Technological University,New Delhi,35,60,Civil Engineering,No
148,Delhi Technological University,New Delhi,43,60,Mechanical Engineering,No
149,Delhi Technological University,New Delhi,74,60,Electronics and Communication Engineering,Yes
150,Delhi Technological University,New Delhi,28,60,Mechanical Engineering,No
151,Dr MGR Educational and Research Institute,Chennai,55,60,Computer Science and Engineering,Yes
152,Dr MGR Educational and Research Institute,Chennai,55,60,Electical and Electonics Engineering,Yes
153,Dr MGR Educational and Research Institute,Chennai,75,60,Computer Science and Engineering,Yes
154,Dr MGR Educational and Research Institute,Chennai,84,60,Computer Science and Engineering,Yes
155,Dr MGR Educational and Research Institute,Chennai,42,60,Computer Science and Engineering,No
156,Dr MGR Educational and Research Institute,Chennai,60,60,Computer Science and Engineering,Yes
157,Dr MGR Educational and Research Institute,Chennai,65,60,Electical and Electonics Engineering,Yes
158,Dr MGR Educational and Research Institute,Chennai,36,60,Computer Science and Engineering,No
159,Dr MGR Educational and Research Institute,Chennai,47,60,Electical and Electonics Engineering,No
160,Dr MGR Educational and Research Institute,Chennai,85,60,Electical and Electonics Engineering,Yes
161,Dr MGR Educational and Research Institute,Chennai,35,60,Electical and Electonics Engineering,No
162,Dr MGR Educational and Research Institute,Chennai,50,60,Electical and Electonics Engineering,No
163,Dr MGR Educational and Research Institute,Chennai,29,60,Computer Science and Engineering,No
164,Dr MGR Educational and Research Institute,Chennai,28,60,Electical and Electonics Engineering,No
165,Dr MGR Educational and Research Institute,Chennai,79,60,Electical and Electonics Engineering,Yes
166,Dr MGR Educational and Research Institute,Chennai,50,60,Computer Science and Engineering,No
167,Dr Vishwanath Karad MIT World Peace University,Pune,50,45,Computer Science and Engineering,Yes
168,Dr Vishwanath Karad MIT World Peace University,Pune,68,45,Computer Science and Engineering,Yes
169,Dr Vishwanath Karad MIT World Peace University,Pune,59,45,Computer Science and Engineering,Yes
170,Dr Vishwanath Karad MIT World Peace University,Pune,78,45,Computer Science and Engineering,Yes
171,Dr Vishwanath Karad MIT World Peace University,Pune,25,45,Computer Science and Engineering,No
172,Dr Vishwanath Karad MIT World Peace University,Pune,44,45,Computer Science and Engineering,No
173,Dr Vishwanath Karad MIT World Peace University,Pune,39,45,Computer Science and Engineering,No
174,Dr Vishwanath Karad MIT World Peace University,Pune,30,45,Computer Science and Engineering,No
175,Guru Gobind Singh Indraprastha University,New Delhi,60,50,Electical and Electonics Engineering,Yes
176,Guru Gobind Singh Indraprastha University,New Delhi,60,50,Electronics and Communication Engineering,Yes
177,Guru Gobind Singh Indraprastha University,New Delhi,60,50,Civil Engineering,Yes
178,Guru Gobind Singh Indraprastha University,New Delhi,60,50,Mechanical Engineering,Yes
179,Guru Gobind Singh Indraprastha University,New Delhi,78,50,Electical and Electonics Engineering,Yes
180,Guru Gobind Singh Indraprastha University,New Delhi,92,50,Electical and Electonics Engineering,Yes
181,Guru Gobind Singh Indraprastha University,New Delhi,85,50,Electical and Electonics Engineering,Yes
182,Guru Gobind Singh Indraprastha University,New Delhi,76,50,Electronics and Communication Engineering,Yes
183,Guru Gobind Singh Indraprastha University,New Delhi,75,50,Civil Engineering,Yes
184,Guru Gobind Singh Indraprastha University,New Delhi,81,50,Civil Engineering,Yes
185,Guru Gobind Singh Indraprastha University,New Delhi,89,50,Civil Engineering,Yes
186,Guru Gobind Singh Indraprastha University,New Delhi,74,50,Mechanical Engineering,Yes
187,Guru Gobind Singh Indraprastha University,New Delhi,85,50,Mechanical Engineering,Yes
188,Guru Gobind Singh Indraprastha University,New Delhi,29,50,Mechanical Engineering,No
189,Guru Gobind Singh Indraprastha University,New Delhi,93,50,Mechanical Engineering,Yes
190,Guru Gobind Singh Indraprastha University,New Delhi,57,50,Electical and Electonics Engineering,No
191,Guru Gobind Singh Indraprastha University,New Delhi,27,50,Electical and Electonics Engineering,No
192,Guru Gobind Singh Indraprastha University,New Delhi,59,50,Electronics and Communication Engineering,No
193,Guru Gobind Singh Indraprastha University,New Delhi,59,50,Civil Engineering,No
194,Guru Gobind Singh Indraprastha University,New Delhi,57,50,Mechanical Engineering,No
195,Guru Gobind Singh Indraprastha University,New Delhi,45,50,Electical and Electonics Engineering,No
196,Guru Gobind Singh Indraprastha University,New Delhi,35,50,Electical and Electonics Engineering,No
197,Guru Gobind Singh Indraprastha University,New Delhi,38,50,Electronics and Communication Engineering,No
198,Guru Gobind Singh Indraprastha University,New Delhi,35,50,Civil Engineering,No
199,Guru Gobind Singh Indraprastha University,New Delhi,22,50,Civil Engineering,No
200,Guru Gobind Singh Indraprastha University,New Delhi,45,50,Civil Engineering,No
201,Guru Gobind Singh Indraprastha University,New Delhi,45,50,Mechanical Engineering,No
202,Guru Gobind Singh Indraprastha University,New Delhi,36,50,Mechanical Engineering,No
203,Guru Gobind Singh Indraprastha University,New Delhi,89,50,Electronics and Communication Engineering,Yes
204,Guru Gobind Singh Indraprastha University,New Delhi,47,50,Electronics and Communication Engineering,No
205,"Indian Institute of Science, Bangalore",Bangalore,50,70,Electronics and Communication Engineering,Yes
206,"Indian Institute of Science, Bangalore",Bangalore,50,70,Civil Engineering,Yes
207,"Indian Institute of Science, Bangalore",Bangalore,50,70,Mechanical Engineering,Yes
208,"Indian Institute of Science, Bangalore",Bangalore,66,70,Electronics and Communication Engineering,Yes
209,"Indian Institute of Science, Bangalore",Bangalore,77,70,Electronics and Communication Engineering,Yes
210,"Indian Institute of Science, Bangalore",Bangalore,89,70,Electronics and Communication Engineering,Yes
211,"Indian Institute of Science, Bangalore",Bangalore,75,70,Civil Engineering,Yes
212,"Indian Institute of Science, Bangalore",Bangalore,89,70,Civil Engineering,Yes
